,Lambda2,Lambda3,Lambda4,Lambda5,muj,YA1,YA2,YB1,YB2,YC1,YC2,YRG,YRH,vx,g1p,Fi11,Fi12,Fi21,Fi22,Fj11,Fj12,Fj21,Fj22,L611,L612,L621,L622,L711,L712,L721,L722,M111,M112,M121,M122,M211,M212,M221,M222,hd11,hd12,hd13,hd21,hd22,hd23,he12,he13,he22,he23,ZP22,ZP23,ZP24,ZP25,ZP32,ZP33,ZP34,ZP35,ZP42,ZP43,ZP44,ZP45,ZP52,ZP53,ZP54,ZP55,mh1,mh2,mH2,mH3,mH4,mH5,mss,MZ,MZp,mnu1,mnu2,mnu3,mchi,mFv,meD1,meD2,VL11,VL12,VL21,VL22,UL11,UL12,UL21,UL22,L1,L2,mv1,mv2,mv3,T,S,U,meg,g2mu,Omega,SIP,SDP,SIN,SDN,sv
0,-0.21698210668564344,0.06329077992171342,-0.006036574751827708,-0.2201365334367968,33448764.251680925,0.9250757604974136,0.025879162306893442,0.010331774473992129,0.00035017626286460015,0.037888850543646525,0.7809834481543424,0.8813513253337165,0.003448149497289807,625.4896041363028,0.1060557220815477,0.3336244417610472,0.0,0.0,0.0005037492705462915,0.0003270905515990492,0.0,0.0,0.0001455236223861379,0.023791799562221008,0.0042870660589237495,0.0001119848847603568,0.00038049173091880785,0.0011070169676429225,0.08636694546888178,0.0336080881276408,0.0002113842900474259,14292207.677138528,0.0,0.0,17563241.4760513,2219142.202842849,0.0,0.0,25573989.97274117,-1.5033167801977291e-05,-0.00011493228429474072,-0.00011500306315598144,0.0017286379364889735,0.008717337206219786,0.007428561088025838,0.024484276676770042,0.0002795187902834174,0.7374635217896475,0.4402543091842178,1.2221394900000001e-05,-1.0398558e-10,-0.9999999940000001,0.00011087344,-0.999999999,3.9302966999999996e-05,-1.22213946e-05,2.80449225e-09,-3.9302966999999996e-05,-0.999999999,-3.73267774e-10,2.78130445e-08,1.4505573e-09,2.7812945999999998e-08,0.00011087344,0.9999999940000001,122.406796,412.783266,1489.68953,3780.5982700000004,4190.8533,5057.073920000001,5784.0608600000005,91.1887,331.683687,1.1105651199999998e-27,8.415098309999999e-12,5.03040391e-11,409.149868,16.757781299999998,0.0946564656,153.59444399999998,0.0299977368,-0.999549967,0.999549967,0.0299977368,0.10917159300000001,-0.9940229190000001,0.9940229190000001,0.10917159300000001,2.1547530925741958e-05,1.003442647534346e-08,1.0000000000000001e-20,8.434019876151127e-12,5.019116870904841e-11,-0.352474013,-0.140036476,0.0487536196,1.6441991300000003e-20,2.2157392000000003e-14,0.10800000000000001,8.283e-07,4.7680000000000006e-58,8.289e-07,3.9e-58,1e-10
11,-0.002713621403003053,0.0034974444182646635,-0.4546794197165847,-0.005253164939266614,6472002.643341983,0.834786325633575,0.02775797855511234,0.00021366763987190921,0.00011898888149464786,0.14865983596481394,0.03029410745117165,0.08638316069575414,0.0011072230595078102,1072.8262877614786,0.1428472704392897,0.0018486249351554191,0.0,0.0,0.275843490780364,0.001080157011606189,0.0,0.0,0.05525151910908302,0.0017653814299573348,0.014049106899957245,0.0027609804835936,0.0012765302614814635,0.07760785071818664,0.07393875788449351,0.005005798629208594,0.00032481863842794353,10094709.583661847,0.0,0.0,90636378.40853477,4336058.496258711,0.0,0.0,3174768.4971447918,-0.00012175369077759358,-0.057328902085108165,-0.09323280932646244,2.456359840552025e-05,0.00011930139625795362,0.0001236721038583858,0.016209337460733112,0.0005635168825711375,0.25212918213394303,0.38776402521940906,5.31703639e-10,-2.39253676e-06,-0.00190507651,0.999998185,-2.43619881e-07,-4.6182428e-09,0.999998185,0.00190507651,-1.0,5.2297053899999995e-06,-2.43620451e-07,8.01004483e-11,-5.2297053899999995e-06,-1.0,-6.154292579999999e-11,-2.3925412200000004e-06,78.46670350000001,125.21866200000001,1781.78941,2082.87998,3177.22566,9520.31608,2544.04412,91.1887,766.251487,2.32605723e-28,8.577919070000001e-12,5.03994566e-11,633.271007,112.773702,0.13547457699999998,113.761477,-0.0018579569,0.9999982740000001,0.9999982740000001,0.0018579569,0.991318557,-0.13148201199999998,0.13148201199999998,0.991318557,1.9283237709423228e-08,7.547176405917227e-07,1.0000000000000001e-20,8.707367209666312e-12,4.965018531015578e-11,0.0288615174,0.0461164115,0.00544681714,1.0624381299999999e-20,1.74499845e-14,0.121,1.225e-07,1.241e-51,1.23e-07,5.263e-51,1e-10
12,-0.0036415232278684453,0.0024254727990545466,-0.007313822329664693,-0.00010754950004568011,74873965.89225842,0.8821655468700961,0.0010783859924917447,0.016553657174587986,0.13800127878561164,0.01561657943511456,0.0012572433448654404,0.0005832781812407607,0.0006115143400654323,1040.0757018990885,0.1396808917527652,0.19555171398807725,0.0,0.0,0.0718681672408611,0.00036858780905665584,0.0,0.0,0.01649474985141228,0.000150590102043027,0.003320783519227678,0.007068681691814764,0.0038929830544976057,0.010472368244985862,0.00013885537329183395,0.0002359768992920269,0.006559446071366346,5073784.353968986,0.0,0.0,8898982.902882572,7627989.017069568,0.0,0.0,13818260.076151632,0.0060483958002300045,0.04469222027416112,0.04548813363764529,-2.348636459175399,-35.29116540467321,-42.12310279130249,0.09608039656157027,0.1031041369652143,0.0005501903427534827,0.00028166783762611787,-0.999999998,2.60270334e-05,5.6299340200000004e-05,-1.84116619e-10,-5.62993401e-05,4.38284229e-09,-0.999999998,6.7253073e-07,2.60270336e-05,1.0,2.91031159e-09,-1.0744305e-05,1.33388805e-10,1.0744305e-05,6.725307709999999e-07,1.0,88.4834745,125.05781599999999,2252.50716,2761.93827,2983.13589,3717.31848,8652.97482,91.1887,726.3937589999999,5.18231351e-28,8.57666739e-12,5.10011201e-11,648.784023,11.485132400000001,11.4699419,12.1894941,-0.989402977,0.145195554,0.145195554,0.989402977,0.145400006,-0.9893729520000001,0.9893729520000001,0.145400006,1.46736320375496e-08,3.022770278095554e-09,1.0000000000000001e-20,8.664708295340291e-12,5.04829733758511e-11,0.023000974700000003,0.0338070198,-0.0614567152,1.93706315e-06,-1.59609964e-09,0.113,1.213e-07,6.823e-52,1.216e-07,6.824e-52,1e-10
15,-0.0161616920549312,0.037133554180813017,-0.010237265322947144,-0.016294086814326505,1094844.193226046,0.1258412016957893,0.001447285608294158,0.9152569836371476,0.00013478581863999719,0.6831119494528105,0.0007638765384078101,0.00032304525120394376,0.4337868807129405,7236.417298889322,0.01988485535007832,0.24205721348714826,0.0,0.0,0.007499878071497058,0.007478298692751356,0.0,0.0,0.035969675842310436,0.00022551162418033976,0.0002071686425279019,0.08690267861100351,0.0004120853834083692,0.00010163920925539274,0.003695718398283196,0.04130257658506373,0.005105819483017231,3844060.7213802375,0.0,0.0,4474410.159295284,2299890.3718606303,0.0,0.0,2147689.126622467,-0.00021817129619500816,-0.0001177783647828832,0.0003162870345147958,-0.00018303667049583783,-0.0010847446561497694,-0.0010112565678379948,0.0008927060403727879,0.00017063111685050456,0.0017987575087404003,0.04770664831486947,-5.321808979999999e-07,1.64947087e-05,0.000728730675,-0.9999997340000001,0.000802102083,1.0569601e-08,-0.999999413,-0.000728730867,-0.999999678,9.85359865e-06,-0.000802102258,-5.21732745e-08,9.85359578e-06,1.0,6.45298823e-09,1.64947126e-05,114.072884,1302.00432,1465.55177,1516.53953,1960.62968,2115.28304,1046.58135,91.1887,719.475695,5.8221585799999995e-28,8.40226959e-12,5.09214241e-11,643.919294,3495.42862,3494.41288,4684.65654,-0.999635278,0.0270057491,0.0270057491,0.999635278,0.036177754900000005,-0.999345371,0.999345371,0.036177754900000005,-2.419893456521859e-05,-7.198458697276891e-07,1.0000000000000001e-20,8.402518826498138e-12,5.0919894372749576e-11,0.000449793929,0.00026650824,-4.15064547e-07,5.41216722e-24,2.5340913500000002e-14,0.113,7.911e-11,8.49e-56,7.976e-11,6.326e-57,1e-10
18,-0.000778243103825874,0.0013559065441432704,-0.042745138134316685,-0.02201415444249491,1399916.3626164726,0.25748220671600225,0.002858052725170537,0.0016068742226095151,0.2435259814080266,0.09760445849808314,0.14431608407098442,0.17344100317562836,0.00036839160665706164,599.2680860586522,0.1346506554192233,0.004930634101495179,0.0,0.0,0.006021305525559556,0.03578717653918024,0.0,0.0,0.0010214688927331476,0.010799339950720004,0.0008561028503351138,0.02296676200276463,0.03718007482515452,0.00281319161099107,0.0234296510362148,0.023754482128110068,0.029250666328763393,13669054.774231914,0.0,0.0,5079904.428079498,73187495.89888155,0.0,0.0,13633905.016983332,0.1860112629771395,1.0260700744468445,1.1790082316313324,0.00011458262672520359,9.998308230474968e-05,-0.00015133210916966924,6.0946997527135596e-05,0.002887331698591682,0.7523425285362866,0.1833644469601929,-2.98850963e-06,1.0,3.16816694e-12,-2.98290471e-07,4.91168639e-10,2.98290473e-07,-1.17951188e-05,1.0,1.0,2.98850963e-06,-3.51041928e-08,-4.92474141e-10,3.51041986e-08,4.55111809e-13,1.0,1.17951188e-05,23.5867648,124.869879,2254.1115,3692.53124,3697.2116200000005,8554.97425,1183.4593300000001,91.1887,403.459346,1.4009779699999998e-28,8.92105087e-12,5.04819774e-11,109.10719099999999,41.3595519,0.513484175,51.1144109,-0.00883758324,0.999960948,0.999960948,0.00883758324,0.809135814,-0.587621677,0.587621677,0.809135814,1.1192806463073917e-08,5.586810113580613e-08,1.0000000000000001e-20,8.90741578852433e-12,5.05592629558475e-11,0.0519233358,0.0149310729,0.106304872,4.3512379200000005e-12,-8.56714603e-13,0.126,1e-06,1.566e-50,1.001e-06,2.2389999999999998e-49,1e-10
19,-0.00010137876501657764,0.000502746397206445,-0.0018465329222117914,-0.3622456036114464,11181910.784342904,0.009258805469392622,0.20061652928604146,0.006551373653671077,0.00025687237119340794,0.05610188143032517,0.001325645878248706,0.7837267177846995,0.000259835705124422,2635.7181119553948,0.07687404524544789,0.10975047642339056,0.0,0.0,0.01077152466260741,0.0272455670893158,0.0,0.0,0.00024377674712127543,0.05282737842146574,0.000993621277443835,0.0011908888550707258,0.03204527602806564,0.036315794104263235,0.09062748774664604,0.0016564859190815984,0.009017278769264605,1515658.4528425022,0.0,0.0,68896840.0496206,82836864.29203364,0.0,0.0,30961952.23312718,8.455389574233027e-05,0.0003697675329823365,0.0003976063454152189,-0.0001918568350587931,-0.0025095426717312392,-0.003814032685866668,0.008873535175221652,0.010814028958099974,0.025506588805657503,0.00013296865237774142,1.0,-4.42106869e-07,-2.5152972000000003e-06,2.32403484e-10,3.64379983e-10,5.29193135e-07,5.237652989999999e-05,-0.999999999,-4.42106869e-07,-1.0,1.09632e-10,-5.2919313e-07,-2.51529719e-06,-8.080267320000001e-11,-0.999999999,-5.237652989999999e-05,37.4317867,124.889375,1231.76369,5564.3706,8300.46991,9101.53553,3345.5598,91.1887,1013.09159,4.43186889e-28,8.41887328e-12,5.019577e-11,17.2559503,104.55898499999999,7.40480869,171.586057,-0.0566338254,0.998395017,0.998395017,0.0566338254,0.608404434,-0.793627145,0.793627145,0.608404434,8.483149295466499e-06,3.62234215747509e-07,1.0000000000000001e-20,8.418945199016954e-12,5.019533146635946e-11,-0.165084205,0.1395254,0.0276146149,1.6663081099999997e-23,2.1459307400000002e-14,0.115,2.351e-09,7.192000000000001e-51,2.3519999999999997e-09,4.9390000000000004e-52,1e-10
32,-0.000380256690824757,4.391680190900436e-05,-0.009046850574136673,-0.3500816458213405,451749405.89077467,0.01889376270820221,0.028415549390127283,0.010693013747102638,0.0010378041007955722,0.028725919661507494,0.0019365297423862226,0.0012973189985692045,0.19068194421963128,6711.653838328798,0.000641140128677905,0.25388751526044456,0.0,0.0,0.0665463966735924,0.004623825048357272,0.0,0.0,0.0041271750266945175,0.0002562454665701828,0.0033447433811117557,0.00025674118586793,0.0001963355648572072,0.00012875756831599842,0.04742721382042524,0.09438146790567452,0.0005895808259191267,1613175.5052371037,0.0,0.0,66956697.33711702,1545111.2667933817,0.0,0.0,1414878.3801234025,-0.010981354532489869,-0.010237963141123642,0.015254735204690202,-0.3075850336451286,0.04104468935225376,0.8835031903757508,0.0003583888140235309,0.002728147785899001,6.235290589906688e-05,0.013442122055608494,-6.63433799e-05,4.81841113e-06,0.01091833,-0.999940391,0.0176960665,2.55836992e-08,-0.999783802,-0.010917794199999999,-0.99984341,1.53505076e-06,-0.017695736,-0.000126882449,1.5346773200000002e-06,1.0,1.33018397e-10,4.818598e-06,124.86083,185.090771,1189.48735,1243.02416,1270.1200800000001,8182.707740000001,21254.6441,91.1887,21.515552600000003,1.7374468699999998e-29,8.86760239e-12,4.98331889e-11,89.66706529999999,136.329081,49.0590605,140.869829,-0.268663327,0.9632341440000001,0.9632341440000001,0.268663327,0.995154822,-0.09832029789999999,0.09832029789999999,0.995154822,-1.199403824336875e-06,6.910853073595223e-09,1.0000000000000001e-20,8.872512178634741e-12,4.980557847101853e-11,-0.000853736624,0.0178870175,0.00501389873,3.22668442e-16,2.04703385e-14,0.109,5.885999999999999e-11,6.122e-54,5.885999999999999e-11,4.539e-55,1e-10
34,-0.003980487261219731,0.0017276470379456164,-0.039960840195230274,-0.00016284967223969022,515127660.54576993,0.005540363996765719,0.0003451490675674324,0.0009289075385479552,0.0007828850008431751,0.06499887185799852,0.0014564514376046525,0.01043738584702555,0.0004479997338575833,6257.494989306538,0.0016795512862492993,0.03914060846498209,0.0,0.0,0.0002168087611091143,0.004950761130311318,0.0,0.0,0.00014068295443203746,0.0003107593299747138,0.00012898846257687152,0.025694610269372368,0.006864863104447297,0.0008937683603081703,0.0014983657836846215,0.002822447844389698,0.016850122884534576,3500068.7187723867,0.0,0.0,30012175.95907221,22790037.83196387,0.0,0.0,13056291.19717913,0.00082143509669889,0.005048817336594482,0.004500379900027926,0.2426650508209882,0.221628607671685,-0.32756956304769624,2.0224937825266587e-05,0.03937512745648402,0.03647210342928408,0.009416683549230951,-1.0,1.45868096e-07,8.978031710000002e-06,-4.22180166e-11,8.3664104e-11,5.65782482e-08,4.61546983e-06,-1.0,-8.978031710000002e-06,5.4205395299999994e-12,-1.0,-4.61546983e-06,1.45868096e-07,1.0,3.84983166e-12,5.65782482e-08,124.767151,558.341742,1870.84962,3613.41877,4773.8943,5478.35612,22696.4249,91.1887,52.54890989999999,9.553401279999999e-28,8.94405641e-12,4.96467596e-11,24.514543600000003,287.601615,4.10958409,287.60731200000004,-0.000359584239,0.999999935,0.999999935,0.000359584239,0.999980225,-0.00628891028,0.00628891028,0.999980225,1.8528888597346272e-07,5.285711089700887e-10,1.0000000000000001e-20,8.944052326817724e-12,4.9646779557423495e-11,1.3465625300000002e-05,2.00295337e-05,0.0009693169689999999,7.10355853e-14,2.8651093400000002e-15,0.106,7.381e-11,5.432e-52,7.381e-11,5.4299999999999995e-52,1e-10
52,-0.0036644780760313493,0.0001836211599411933,-0.0005971201706733723,-0.0027034306415648296,6238003.683319016,0.5568268362809096,0.04486503600183348,0.0003439575057649618,0.013140988377558343,0.05149231904360936,0.0392542793978093,0.005556970844031903,0.1998019785914231,863.4031637556294,0.4217083335580531,0.00010150886058151579,0.0,0.0,0.0021851977370420726,0.0002249615389951,0.0,0.0,0.00534962502490349,0.059860714701290674,0.0266360797879518,0.010362307829266679,0.0016389793924949205,0.0002754427717570719,0.020823314229320208,0.001882599426076884,0.002454752975495491,1885285.99108355,0.0,0.0,43653304.707046665,1177188.2683763541,0.0,0.0,84842701.3906869,0.5893412770524016,0.4394403837625619,-0.6482752035945112,0.2887003177257433,1.5442804779216128,1.3128894326452814,0.0366703633322285,0.0001596553894849298,1.3347891749175073e-05,0.18847747918204846,-8.73001786e-08,1.8756151300000003e-12,1.0,-7.461927879999999e-06,1.0,-1.91202132e-05,8.73001786e-08,-3.4950862700000004e-13,-1.91202132e-05,-1.0,4.4814152400000005e-13,3.23894614e-08,3.17374397e-13,3.23894614e-08,7.461927879999999e-06,1.0,73.9143558,124.86128300000001,1084.98675,1373.71055,6607.06812,9211.01371,2497.61587,91.1887,1820.52148,1.7035396e-27,8.98074959e-12,5.0597952899999996e-11,339.952928,31.4370015,0.570799716,46.752553999999996,0.739945599,-0.6726667159999999,0.6726667159999999,0.739945599,0.99985263,-0.0171673634,0.0171673634,0.99985263,2.4986506054748035e-10,1.3112094905667677e-10,1.0000000000000001e-20,8.98074990641419e-12,5.059796496657835e-11,0.0190095526,0.0642898169,-0.213070774,4.84517838e-10,-1.7672903699999998e-12,0.113,2.188e-07,3.028e-51,2.188e-07,2.2730000000000002e-52,1e-10
57,-0.0009428849397976208,0.0016312072825488606,-0.010784745667564488,-0.0008810205477765972,476613239.50868624,0.2736997883942397,0.05942621402593504,0.0017544480344109349,0.002790087553516008,0.11519246773792782,0.2602862935023349,0.19706170098569026,0.012704164593524305,416.81821935851707,0.050187388618409635,0.001957344510678443,0.0,0.0,0.021787528093674,0.001066362458052697,0.0,0.0,0.010126255285788595,0.00019929509595581867,0.00011152451734361887,0.004630422542750043,0.003923470794003282,0.003697113216953769,0.0007899561728553902,0.02087608038319775,0.0473653867817222,64461478.30009829,0.0,0.0,18846202.94335244,39954342.2474129,0.0,0.0,71161238.74816264,7.283105514750116,39.07565072238025,43.03709498827981,0.0011404262417401133,-0.003648948233075261,-0.009428303244147037,0.00012803011991196825,0.0003731175676496533,0.0570743912269833,0.010891192939757098,-7.32991541e-08,1.0,1.39437134e-13,-1.22744573e-07,2.35400989e-08,2.34640063e-13,-1.0,7.588782809999999e-07,1.0,7.32991541e-08,2.35400989e-08,-1.5343574e-13,1.2657459699999998e-13,1.22744573e-07,7.588782809999999e-07,1.0,18.050284899999998,124.866502,4341.2345700000005,6320.9533200000005,8028.79107,8435.79635,21831.4733,91.1887,104.595088,4.28610242e-29,8.65799598e-12,4.9650576500000004e-11,80.6689039,33.951258700000004,1.19362262,48.172700299999995,0.0398416174,-0.9992060079999999,0.9992060079999999,0.0398416174,0.706041832,-0.7081701290000001,0.7081701290000001,0.706041832,2.431955587828613e-09,3.521782450099544e-08,1.0000000000000001e-20,8.657825287385701e-12,4.9651550414568254e-11,0.0485977111,0.15509668699999998,-0.09196207990000001,4.35218615e-07,-2.70117871e-10,0.127,4.165e-06,1.221e-49,4.168999999999999e-06,1.6440000000000002e-48,1e-10
